rowID_P1,responseId_P1,duration_P1,startTime_P1,NAcount_P1,age,female,male,americanIndian,asian,black,latinx,pacificIslander,white,other,state,region,edu,edu_n,inc,poli_n,voteD,voteR,id_environmentalistP1,id_exaggeratedCrisisP1,id_spaceshipP1,id_ecoCatastropheP1,id_natureStrongerP1,id_humansAbusingEnviroP1,idIndexP1,pw_watchReadP1,pw_shareP1,pw_socialMediaConvoP1,pw_participateConvoP1,pw_startConvoP1,pwConverseIndexP1,pw_recycleP1,pw_lightsOffP1,pw_compostP1,pw_avoidMeatP1,pw_productImpactP1,pw_altTransportationP1,pw_reduceWaterP1,pw_reusableBottleP1,pw_washColdP1,pw_hangDryP1,pw_reusableBagsP1,pw_useDisposableProductsP1,pw_useKeurigP1,pw_usePlasticWaterP1,pwPEBsIndexP1,cc_SeriousnessP1,cc_HarmTimeP1,cc_PersonalHarmP1,ccIndexP1,cc_CauseP1,cc_CauseP1_n,wg_goodP1,wg_positiveP1,warmGlowIndexP1,intent_watchReadP1,intent_shareP1,intent_socialMediaConvoP1,intent_participateConvoP1,intent_startConvoP1,intentConverseIndexP1,intent_recycleP1,intent_lightsOffP1,intent_compostP1,intent_avoidMeatP1,intent_productImpactP1,intent_altTransportationP1,intent_reduceWaterP1,intent_reusableBottleP1,intent_washColdP1,intent_hangDryP1,intent_reusableBagsP1,intent_useDisposableProductsP1,intent_useKeurigP1,intent_usePlasticWaterP1,intentPEBsIndexP1,treatment,task,taskSpaced,wordCount,charity,taskTime,rowID_P2,responseId_P2,duration_P2,startTime_P2,NAcount_P2,id_environmentalistP2,id_exaggeratedCrisisP2,id_spaceshipP2,id_ecoCatastropheP2,id_natureStrongerP2,id_humansAbusingEnviroP2,idIndexP2,pw_watchReadP2,pw_shareP2,pw_socialMediaConvoP2,pw_participateConvoP2,pw_startConvoP2,pwConverseIndexP2,pw_recycleP2,pw_lightsOffP2,pw_compostP2,pw_avoidMeatP2,pw_productImpactP2,pw_altTransportationP2,pw_reduceWaterP2,pw_reusableBottleP2,pw_washColdP2,pw_hangDryP2,pw_reusableBagsP2,pw_useDisposableProductsP2,pw_useKeurigP2,pw_usePlasticWaterP2,pwPEBsIndexP2,cc_SeriousnessP2,cc_HarmTimeP2,cc_PersonalHarmP2,ccIndexP2,cc_CauseP2,cc_CauseP2_n,wg_goodP2,wg_positiveP2,warmGlowIndexP2,intent_watchReadP2,intent_shareP2,intent_socialMediaConvoP2,intent_participateConvoP2,intent_startConvoP2,intentConverseIndexP2,intent_recycleP2,intent_lightsOffP2,intent_compostP2,intent_avoidMeatP2,intent_productImpactP2,intent_altTransportationP2,intent_reduceWaterP2,intent_reusableBottleP2,intent_washColdP2,intent_hangDryP2,intent_reusableBagsP2,intent_useDisposableProductsP2,intent_useKeurigP2,intent_usePlasticWaterP2,intentPEBsIndexP2
1,R_2f1dAL3wlaSjblA,6.25,10/2/19 9:39,0,23,0,1,0,0,0,0,0,1,0,California,West,Associates degree,3,87.5,2,1,0,6,2,5,5,4,5,-0.4699409190302057,3,3,2,4,3,1.2120089868240778,3,4,4,3,3,3,3,3,2,3,4,3,3,3,0.3034297839289331,3,1,2,-3.40099558028526,There is no solid evidence that the Earth is getting warmer,1,6,5,-0.48701713656829093,4,2,4,1,3,-0.35853585397778304,4,4,3,4,3,3,3,3,4,4,3,2,5,2,-0.22152306585972184,control,"nurse, juliet, romeo, capulet, tybalt, good",nurse  juliet  romeo  capulet  tybalt  good,6,NA,4.489450000000001,88,R_26lGcKen9413ItM,1.3166666666666667,2019-10-09 12:39:47,0,6,7,5,5,3,3,-0.3674998594111182,2,3,2,3,1,0.3060882417050606,2,3,3,3,4,4,4,3,2,4,4,2,2,3,-0.013757724253865584,4,4,4,2.776375813883019,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,6,7,0.9863040712854125,4,4,4,4,4,0.6125308439844734,3,4,4,5,3,5,5,4,5,1,4,3,2,1,0.15255786866305507
2,R_2eVk6HvvITX1E6J,11.016666666666667,10/2/19 9:38,0,29,1,0,0,0,0,0,0,1,0,Missouri,Midwest,Bachelor's degree,5,32.5,2,1,0,7,7,6,7,1,7,0.35445020379902487,2,1,1,3,3,0.1457095224751156,3,5,1,3,5,2,5,5,1,1,3,5,5,5,0.27478771251801437,4,4,4,2.8830276443883776,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,7,7,1.6492795615012592,3,3,1,5,5,0.1009075278561659,4,5,2,4,4,4,5,5,3,2,5,5,5,5,0.3671173094094392,control,"beauty, peter, nothing, must, light, hath, enter, nurse, complete, romeo, juliet, montague, doth, hand, laurence, face, well, like, talk, black, good, tybalt, wilt, capulet, death, stay, nay, lips, may, say, see, old, stand, think, prince, peace, world, madam, day, lady, night, first, day, benvolio, love, never, mistress, daughter, banished, therefore, twenty, bring, house, blood, first, sorrow, heavy, better, years, exeunt, holy, gone, now, servant, speak, head, breath, dream, tonight, give, paris, true, law, heart, part, come, take, without, stand, news, sampson, flower, soon, exit, eyes, friend, earth, dead, musician, kinsman, desperate, killed, hold, whose, every, send, leave, husband, gentleman, father, bed, within, letter, quarrel, pray, secret, pardon, shame, alone, tongue, mine, hear, know, tell, heaven, young, warrant, farewell, happy, watchman, tomb, high, scene, haste, live, away, one, much, can, two, life, life, die, else, put, rest, sun, get, ears, still, wilt, grief, none, master, answer, more, therefore, cell, bid, call, wit, john, woe, men, friar, man, yet, art, better, blood, mother, thursday, heavy, second,",beauty  peter  nothing  must  light  hath  enter  nurse  complete  romeo  juliet  montague  doth  hand  laurence  face  well  like  talk  black  good  tybalt  wilt  capulet  death  stay  nay  lips  may  say  see  old  stand  think  prince  peace  world  madam  day  lady  night  first  day  benvolio  love  never  mistress  daughter  banished  therefore  twenty  bring  house  blood  first  sorrow  heavy  better  years  exeunt  holy  gone  now  servant  speak  head  breath  dream  tonight  give  paris  true  law  heart  part  come  take  without  stand  news  sampson  flower  soon  exit  eyes  friend  earth  dead  musician  kinsman  desperate  killed  hold  whose  every  send  leave  husband  gentleman  father  bed  within  letter  quarrel  pray  secret  pardon  shame  alone  tongue  mine  hear  know  tell  heaven  young  warrant  farewell  happy  watchman  tomb  high  scene  haste  live  away  one  much  can  two  life  life  die  else  put  rest  sun  get  ears  still  wilt  grief  none  master  answer  more  therefore  cell  bid  call  wit  john  woe  men  friar  man  yet  art  better  blood  mother  thursday  heavy  second ,164,NA,5.000233333333333,21,R_1MJUj5h7q6VRT41,4.3,2019-10-09 12:10:32,0,7,7,7,7,3,7,0.63791526226966,3,3,2,2,3,0.7254311755392433,2,5,1,3,5,3,5,5,3,1,5,5,5,5,0.526224134433601,4,4,4,2.776375813883019,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,6,7,0.9863040712854125,4,4,5,4,4,0.7558893518172168,5,5,1,5,5,4,5,5,4,1,5,5,5,5,0.643329709151343
3,R_UR2vWIR0cwRhmCd,15.616666666666667,10/2/19 9:40,0,28,0,1,0,0,0,0,0,1,0,Georgia,South,Bachelor's degree,5,62.5,1,1,0,6,7,5,6,5,7,0.391170837745783,2,3,3,3,2,0.8002359939934509,4,5,2,2,4,3,3,5,2,1,3,2,5,4,0.26394773267587107,4,4,4,2.8830276443883776,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,7,7,1.6492795615012592,4,4,5,4,4,0.6695936528456341,5,5,2,1,4,4,4,5,2,1,5,4,4,4,0.23616418281250212,extrinsic,"romeo, love, laurence, face, well, good, tell, know, alone, complete, juliet, nurse, come, take, must, paris, light, speak, head, breath, place, gentle, nothing, peter, beauty, back, first, house, sorrow, mother, thursday, daughter, mistress, never, bring, banished, twenty, therefore, master, food, answer, never, name, scene, second, lady, day, find, holy, gone, lives, honest, true, part, heart, years, better, body, son, act, hands, eye, poor, kiss, wife, art, bear, look, still, wilt, sweet, mine, hear, heaven, young, happy, farewell, warrant, shame, pardon, reliable, meet, world, prince, pray, hence, ever, letter, within, husband, leave, every, send, whose, hold, kinsman, desperate, musician, friend, tongue, thought, black, kill, sight, new,",romeo  love  laurence  face  well  good  tell  know  alone  complete  juliet  nurse  come  take  must  paris  light  speak  head  breath  place  gentle  nothing  peter  beauty  back  first  house  sorrow  mother  thursday  daughter  mistress  never  bring  banished  twenty  therefore  master  food  answer  never  name  scene  second  lady  day  find  holy  gone  lives  honest  true  part  heart  years  better  body  son  act  hands  eye  poor  kiss  wife  art  bear  look  still  wilt  sweet  mine  hear  heaven  young  happy  farewell  warrant  shame  pardon  reliable  meet  world  prince  pray  hence  ever  letter  within  husband  leave  every  send  whose  hold  kinsman  desperate  musician  friend  tongue  thought  black  kill  sight  new ,105,Environmental Defense Fund,5.001883333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,R_22LX5ItMqCyL25d,15.066666666666666,10/2/19 9:45,0,36,1,0,0,0,0,0,0,1,0,Indiana,Midwest,Bachelor's degree,5,87.5,NA,NA,NA,5,5,3,6,2,5,-0.6109006742306764,1,1,1,1,1,-0.8808374967070594,2,4,2,1,3,1,4,1,1,1,1,3,5,4,-0.6166999563641816,3,2,3,-1.359075486644558,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,6,6,0.21784312256050406,2,4,4,2,4,-0.08722473871854616,4,5,4,2,4,1,5,4,4,1,4,2,2,4,-0.10788506490211044,extrinsic,"mercutio, juliet, hath, enter, complete, dead, doth, montague, heaven, young, alone, laurence, benvolio, banished, blood, mother, mistress, servant paris, grave, lord, husband, gentleman, desperate, kinsman, hither, musician, friar, dear, sampson, woe, haste, tybalt, madam, wilt, capulet,",mercutio  juliet  hath  enter  complete  dead  doth  montague  heaven  young  alone  laurence  benvolio  banished  blood  mother  mistress  servant paris  grave  lord  husband  gentleman  desperate  kinsman  hither  musician  friar  dear  sampson  woe  haste  tybalt  madam  wilt  capulet ,36,Environmental Defense Fund,5.00165,268,R_QiCZ2VbCr6fLK93,4.65,2019-10-10 14:04:50,0,5,6,2,5,3,5,-0.606687780068115,2,1,1,1,1,-0.7690214606209745,2,5,2,2,3,1,4,2,2,1,2,2,2,4,-0.5742049574631712,3,2,3,-1.433910806962498,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,7,6,0.9949499336364073,2,2,2,1,2,-1.0187506531953667,4,5,4,2,4,1,4,2,4,1,4,1,1,4,-0.5405434583679454
5,R_5im2cWy7OwhHmud,9.683333333333334,10/2/19 9:59,0,37,0,1,0,0,0,0,0,1,0,Florida,South,Bachelor's degree,5,32.5,2,1,0,7,6,1,7,6,7,0.1987243046104645,2,1,1,1,1,-0.678048333354134,4,5,1,5,3,2,5,5,5,1,5,5,5,5,0.2801966957082697,4,4,4,2.8830276443883776,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,5,5,-1.213593316380251,4,2,2,1,2,-0.7993034586702001,5,5,1,5,5,1,5,5,5,1,5,5,5,5,0.15322299442952297,extrinsic,"come, nurse, juliet, rome, upon, shall, will, capulet, love, benvolio, tybalt, good, like, mine, hear, know, alone, tongue, shame, pardon, warrant, farewell, heaven, young, happy, high, montague, tell, good, sweet, talk, black, noble, doth, done, hand, madam, world, peace, prince, think, stand, old, pray, hence, father, bed, ever, letter, within, husband, leave, every send, whose, hold, balthasar, desperate, kinsman, hither, thyself, musician, earth, comes, dead, lord, word, god, make, may, stand, news, see, without, cousin, sir, death, say, may, see, wilt, thine, grief, none like, well, face, laurence, therefore, banished, twenty, beauty, nothing, peter, made marry, must, true, hath, law, give, light, paris, now mercution, servant, holy, gone, villain, woe, night, years body, better, cell, away said let, lady, day, house blood, mother, thursday, daugher, back, has, first, bid, call, wit, two, life, lie, net, ere, die, little, hour, faith, still, stay, sound, maid, men, help, long, fair, silver, ears, early, get, sun, mad nay, lips, art, rich, look, fear, lies, poor, wife, bear, heart, part, great, mantua, exeunt, tomorrow, though, blood, means, tears, escalus, master, son, act, run, fall, saw, hands, joy, act, son, child,",come  nurse  juliet  rome  upon  shall  will  capulet  love  benvolio  tybalt  good  like  mine  hear  know  alone  tongue  shame  pardon  warrant  farewell  heaven  young  happy  high  montague  tell  good  sweet  talk  black  noble  doth  done  hand  madam  world  peace  prince  think  stand  old  pray  hence  father  bed  ever  letter  within  husband  leave  every send  whose  hold  balthasar  desperate  kinsman  hither  thyself  musician  earth  comes  dead  lord  word  god  make  may  stand  news  see  without  cousin  sir  death  say  may  see  wilt  thine  grief  none like  well  face  laurence  therefore  banished  twenty  beauty  nothing  peter  made marry  must  true  hath  law  give  light  paris  now mercution  servant  holy  gone  villain  woe  night  years body  better  cell  away said let  lady  day  house blood  mother  thursday  daugher  back  has  first  bid  call  wit  two  life  lie  net  ere  die  little  hour  faith  still  stay  sound  maid  men  help  long  fair  silver  ears  early  get  sun  mad nay  lips  art  rich  look  fear  lies  poor  wife  bear  heart  part  great  mantua  exeunt  tomorrow  though  blood  means  tears  escalus  master  son  act  run  fall  saw  hands  joy  act  son  child ,186,Environmental Defense Fund,5.000216666666666,34,R_1llyYSdnteemTep,3.183333333333333,2019-10-09 12:15:26,0,7,6,1,7,6,7,0.2257271580999927,2,1,1,1,1,-0.7690214606209745,5,5,1,5,4,2,5,5,5,2,5,5,5,5,0.3416552855780197,4,4,3,1.7395179673721841,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,5,5,-1.0461167510724536,4,2,2,2,2,-0.5532257164673487,5,5,2,5,5,2,5,5,5,3,5,5,5,5,0.36398523377371006
6,R_2WASyUfSCo1plTQ,9.616666666666667,10/2/19 10:00,0,32,1,0,0,1,0,0,0,0,0,New York,Northeast,Bachelor's degree,5,32.5,1,1,0,6,7,6,6,7,7,0.6723230674070476,2,1,1,1,1,-0.678048333354134,4,3,1,1,2,5,2,5,0,0,3,4,5,5,-0.34462993264335917,4,4,4,2.8830276443883776,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,6,6,0.21784312256050406,2,2,2,2,2,-0.9711653943728827,4,4,2,2,4,5,4,5,0,0,3,4,5,5,-0.3319079957156422,extrinsic,"peter, made, marry, take, sleep, come, nurse, stay, man, yet, exit, eyes, loves, kinsman, earth, comes dead, keep, late, sir, cousin, god, bed, ever, father, may, old, news, see, upon, will, married, slain, light, lives, true, law, part, heart, now, tonight, dream speak, servant, holy, mantua, back, has, find, first, lad, blood, day, house, mother, daughter, never, banished, bring, therefore, face, well, like, talk, black, mine, hear, know, alone, thought, hung, happy, high, pardon, meet, done, tomb, thine, pale, wilt, hands, joy, fall, act, son, dost, upon, wit, bid, two, like, ere, set, eye, put, time, ears, nay, lips, early, thing, lies, fear, poor, kiss, need, wife, bear, sleep, show, stay, sampson, soon, exit, musician, thyself, killed, fortune, earth, friend, dear, nurse, juliet, romeo, mercutio, night, exeunt, back, gregory, best, soul, run, food, talk, black, marble, move, answer, master, twenty, bring, thrusday, means, verona, sorrow, heavy, dream, head, place, gentle, nothing, fight,",peter  made  marry  take  sleep  come  nurse  stay  man  yet  exit  eyes  loves  kinsman  earth  comes dead  keep  late  sir  cousin  god  bed  ever  father  may  old  news  see  upon  will  married  slain  light  lives  true  law  part  heart  now  tonight  dream speak  servant  holy  mantua  back  has  find  first  lad  blood  day  house  mother  daughter  never  banished  bring  therefore  face  well  like  talk  black  mine  hear  know  alone  thought  hung  happy  high  pardon  meet  done  tomb  thine  pale  wilt  hands  joy  fall  act  son  dost  upon  wit  bid  two  like  ere  set  eye  put  time  ears  nay  lips  early  thing  lies  fear  poor  kiss  need  wife  bear  sleep  show  stay  sampson  soon  exit  musician  thyself  killed  fortune  earth  friend  dear  nurse  juliet  romeo  mercutio  night  exeunt  back  gregory  best  soul  run  food  talk  black  marble  move  answer  master  twenty  bring  thrusday  means  verona  sorrow  heavy  dream  head  place  gentle  nothing  fight ,152,Environmental Defense Fund,4.778099999999999,104,R_3D0IDaAjT1lUNjF,3.283333333333333,2019-10-09 12:49:38,0,6,6,6,6,6,1,-0.22083741320815636,1,1,1,2,1,-0.77368916605815,5,4,1,2,3,4,3,4,0,2,3,5,5,5,-0.13528880663968182,4,4,3,1.7395179673721841,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,6,6,0.31171241794978877,3,1,2,2,2,-0.8548807918327028,5,4,2,2,4,4,4,4,3,4,4,5,5,5,-0.02358270168807638
7,R_3R1pTK8PnYmq6JH,13.25,10/2/19 9:58,0,37,1,0,0,0,0,0,0,1,0,Pennsylvania,Northeast,Bachelor's degree,5,87.5,0,0,0,4,6,7,7,4,7,0.3119004735149083,2,1,1,1,1,-0.678048333354134,5,5,2,2,5,1,5,5,5,3,5,3,5,5,0.2704278704524248,4,4,4,2.8830276443883776,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,7,7,1.6492795615012592,5,3,3,3,5,0.4098160466147352,5,5,5,3,5,3,5,5,5,5,5,5,5,5,0.7243445003229819,extrinsic,"romeo,capulet,wilt,tybalt,good,juliet,nurse,come,mercutio,night,lady,day,let,shall,benvolio,laurence,face,well,like,mine,hear,know,laone,tell,montague,doth,happy,farewell,warrant,sweet,fail,soul,run,haste,scene,second,tears,escalus,name,never,banished,therefore,being,daughter,thursday,mother,blood,heavy,house,first,hast,find,years,woe,said,bid,call,wit,two,life,lie,ere,die,still,little,hour,fatih,say,see,news,stand,think,prince,peace,world,make,dead,keep,complete,fair,friar,dear,yet,exit,men,man,sampson,soon,stay,take sleep,marry,made,light,lives,peter,nothing,gregory,slain,married,grave,give,speak,dream,servant,head,",romeo capulet wilt tybalt good juliet nurse come mercutio night lady day let shall benvolio laurence face well like mine hear know laone tell montague doth happy farewell warrant sweet fail soul run haste scene second tears escalus name never banished therefore being daughter thursday mother blood heavy house first hast find years woe said bid call wit two life lie ere die still little hour fatih say see news stand think prince peace world make dead keep complete fair friar dear yet exit men man sampson soon stay take sleep marry made light lives peter nothing gregory slain married grave give speak dream servant head ,106,Environmental Defense Fund,5.0001500000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,R_3iL6jjOSKJb6r93,11.883333333333333,10/2/19 10:01,0,46,0,1,0,0,0,0,0,1,0,Indiana,Midwest,Bachelor's degree,5,62.5,2,1,0,6,7,4,7,7,7,0.570738781720263,2,1,1,1,1,-0.678048333354134,4,5,4,4,3,1,4,1,5,1,2,5,5,5,0.03529716312773001,4,4,4,2.8830276443883776,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,7,7,1.6492795615012592,3,2,1,2,2,-0.9537577180494847,4,5,5,4,4,1,4,1,5,1,4,5,5,5,-0.1254393229365334,extrinsic,"beauty, strength, peter, must, enter, come, nurse, man, yet, exit, enter, friar, complete, eyes, loves, gregory, straight, light, hath, thrue, gives, grave, married, speak, forth, poison, now, tonight, servant, breath, dream, mercutio, exuent, holy gone, night, tomorrow, back, hast, first, lady, day, house, blood, mother, benevolent, thursday, daughter, laurence, benvolio, banished, never, being, haste, name, scene, shall, let, cell, away, gone, woe, can, one, juliet, art, nurse, heart, part, look, time, fair, capulet, tybalt, good, know, tell, heaven, mine, like, dead, sir, death, doth, montague, know, farewell, alone, young, wilt, may, say, see, stand, make, old, think, hence, father",beauty  strength  peter  must  enter  come  nurse  man  yet  exit  enter  friar  complete  eyes  loves  gregory  straight  light  hath  thrue  gives  grave  married  speak  forth  poison  now  tonight  servant  breath  dream  mercutio  exuent  holy gone  night  tomorrow  back  hast  first  lady  day  house  blood  mother  benevolent  thursday  daughter  laurence  benvolio  banished  never  being  haste  name  scene  shall  let  cell  away  gone  woe  can  one  juliet  art  nurse  heart  part  look  time  fair  capulet  tybalt  good  know  tell  heaven  mine  like  dead  sir  death  doth  montague  know  farewell  alone  young  wilt  may  say  see  stand  make  old  think  hence  father,99,Environmental Defense Fund,5.0027333333333335,82,R_1isVkMe9vL310bK,5.833333333333333,2019-10-09 12:32:57,0,6,7,4,7,6,7,0.49976799098707086,2,1,1,1,1,-0.7690214606209745,4,5,5,3,3,1,4,1,5,1,1,5,5,5,-0.06420123547133207,4,4,4,2.776375813883019,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,7,7,1.6695415869720311,3,1,1,1,1,-1.2959079220638314,4,5,5,4,4,1,5,1,5,1,3,5,1,5,-0.32844310413927524
9,R_21bSvyQWOHnX6f7,12.866666666666667,10/2/19 10:03,0,33,1,0,0,0,1,0,0,0,0,North Carolina,South,Bachelor's degree,5,32.5,2,1,0,5,7,7,7,6,7,0.6822935658226974,4,1,1,3,3,0.5512878491809664,2,5,1,5,4,3,5,3,5,1,2,3,5,3,0.27689299903011244,4,4,4,2.8830276443883776,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,7,7,1.6492795615012592,5,2,2,5,5,0.41911907309082713,4,5,1,5,5,4,5,4,5,1,4,4,5,4,0.38496195660357285,control,"nurse, man, will, love, good, capulet, heaven, young, laurence, night, enter, must, hath, romeo, day, house, blood, never, mistress, mine, know, heaven, doth, alone, happy, farewell, give, paris, lady, shall, can, one, say, may, hear, stand, think, prince, world, face, woe, gone, benvolio, tears, scene, haste, bid, call, art, part, grave, speak, back, exeunt, first, tomorrow, banished, twenty, therefore, thursday, best, look, early, friar, yet, exit, eyes, complete, mercutio, good, talk, black, sweet, wilt, upon, life, two, joy, heart, sorrow, daughter, mother, ground, away, fall, son, soul, run, grief, news, pray, montague,",nurse  man  will  love  good  capulet  heaven  young  laurence  night  enter  must  hath  romeo  day  house  blood  never  mistress  mine  know  heaven  doth  alone  happy  farewell  give  paris  lady  shall  can  one  say  may  hear  stand  think  prince  world  face  woe  gone  benvolio  tears  scene  haste  bid  call  art  part  grave  speak  back  exeunt  first  tomorrow  banished  twenty  therefore  thursday  best  look  early  friar  yet  exit  eyes  complete  mercutio  good  talk  black  sweet  wilt  upon  life  two  joy  heart  sorrow  daughter  mother  ground  away  fall  son  soul  run  grief  news  pray  montague ,92,NA,5.0039,388,R_5AN7jDUgMWCPVAZ,7.2,2019-10-11 05:10:13,0,5,7,7,7,6,7,0.6951962276762551,2,1,2,1,3,-0.1393676992787061,2,5,1,5,4,4,5,4,5,1,1,5,5,3,0.19051895292220147,4,4,4,2.776375813883019,The Earth is getting warmer mostly because of human activity such as burning fossil fuels,3,7,7,1.6695415869720311,4,1,1,4,3,-0.39484966590961473,4,5,1,5,5,4,5,4,5,1,1,5,5,2,0.047789693462514785
10,R_3PLx55lAO1OIUBE,12.083333333333334,10/2/19 10:08,0,34,1,0,0,0,0,0,0,1,0,Indiana,Midwest,High school diploma or equivalent,2,62.5,-2,0,1,1,1,1,1,1,1,-2.7103013888978356,1,1,1,1,1,-0.8808374967070594,3,3,1,1,1,1,1,1,1,1,1,2,5,5,-0.8805833397592092,1,1,1,-6.652635080788536,There is no solid evidence that the Earth is getting warmer,1,4,2,-4.0547502735785965,1,1,1,1,1,-1.720395189051487,4,4,1,1,1,1,1,1,1,0,1,1,5,1,-1.4533175511356182,control,"come, nurse, juliet, romeo, complete, sir, death, make, say, may, old, pray, think, stand, news, see, prince, capulet, will, upon, shall, lady, first, house, day, blood, mother, thursday, daughter, mistress, never, bring, banished, twenty, therefore, laurence, benvlio, face, well,like,talk, black, mine, hear, know, alone, tongue, warrant, shame, pardon, beauty, nothing, straight, gregory, many, slain, poison, married, paris, give, grave, ladies, gentle, head, breath, servant, now, law, marry, sleep, flower, sampson, soon, loves, kinsman, muscian, desperate, hold, whose send, every, leave, gentleman, bed, son, act, bid, call, wit, life, two, lie, ere, die, little, hour, faith, master, answer, move, heart, bear, others, scene, second, haste, food, run, soul, fall, grief, none, sweet, full,",come  nurse  juliet  romeo  complete  sir  death  make  say  may  old  pray  think  stand  news  see  prince  capulet  will  upon  shall  lady  first  house  day  blood  mother  thursday  daughter  mistress  never  bring  banished  twenty  therefore  laurence  benvlio  face  well like talk  black  mine  hear  know  alone  tongue  warrant  shame  pardon  beauty  nothing  straight  gregory  many  slain  poison  married  paris  give  grave  ladies  gentle  head  breath  servant  now  law  marry  sleep  flower  sampson  soon  loves  kinsman  muscian  desperate  hold  whose send  every  leave  gentleman  bed  son  act  bid  call  wit  life  two  lie  ere  die  little  hour  faith  master  answer  move  heart  bear  others  scene  second  haste  food  run  soul  fall  grief  none  sweet  full ,114,NA,5.002316666666667,35,R_3nPFqm9WYGv6inD,3.7333333333333334,2019-10-09 12:14:55,0,1,1,1,1,1,1,-2.6069624806168803,1,1,1,1,1,-0.984266147499322,3,3,1,1,1,1,1,1,2,1,1,1,5,2,-1.0516963981780505,1,1,1,-6.741163551680982,There is no solid evidence that the Earth is getting warmer,1,1,1,-6.477433427161423,1,1,1,1,1,-1.6155157728049747,4,5,1,1,1,1,1,1,2,1,1,1,5,1,-1.2829631376356803
