rowID.x,treatment,wordCount,cluster,enviroCharity,age,female,region,edu_n,inc,poli_n,voteD,voteR,PEBs,time,intent,warmGlow,ccIndex,enviroID,id_enviro,cc_Seriousness,cc_harmTime,cc_personalHarm,cc_cause,wg_good,wg_positive,cc_humancause,cc_denial,control,extrinsic,intrinsic,after
1,0,6,Most Engaged,0,23,0,West,3,87.5,2,1,0,0.3034297839289331,1,-0.22152306585972184,-0.48701713656829093,-3.40099558028526,-0.4699409190302057,6,3,1,2,1,6,5,0,1,1,0,0,0
1,0,6,Most Engaged,0,23,0,West,3,87.5,2,1,0,-0.013757724253865584,2,0.15255786866305507,0.9863040712854125,2.776375813883019,-0.3674998594111182,6,4,4,4,3,6,7,1,0,1,0,0,1
2,0,164,Most Concerned,0,29,1,Midwest,5,32.5,2,1,0,0.27478771251801437,1,0.3671173094094392,1.6492795615012592,2.8830276443883776,0.35445020379902487,7,4,4,4,3,7,7,1,0,1,0,0,0
2,0,164,Most Concerned,0,29,1,Midwest,5,32.5,2,1,0,0.526224134433601,2,0.643329709151343,0.9863040712854125,2.776375813883019,0.63791526226966,7,4,4,4,3,6,7,1,0,1,0,0,1
3,1,105,Most Engaged,1,28,0,South,5,62.5,1,1,0,0.26394773267587107,1,0.23616418281250212,1.6492795615012592,2.8830276443883776,0.391170837745783,6,4,4,4,3,7,7,1,0,0,1,0,0
3,1,105,Most Engaged,1,28,0,South,5,62.5,1,1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1
4,1,36,Doubtful and Dismissive,1,36,1,Midwest,5,87.5,NA,NA,NA,-0.6166999563641816,1,-0.10788506490211044,0.21784312256050406,-1.359075486644558,-0.6109006742306764,5,3,2,3,3,6,6,1,0,0,1,0,0
4,1,36,Doubtful and Dismissive,1,36,1,Midwest,5,87.5,NA,NA,NA,-0.5742049574631712,2,-0.5405434583679454,0.9949499336364073,-1.433910806962498,-0.606687780068115,5,3,2,3,3,7,6,1,0,0,1,0,1
5,1,186,Most Concerned,1,37,0,South,5,32.5,2,1,0,0.2801966957082697,1,0.15322299442952297,-1.213593316380251,2.8830276443883776,0.1987243046104645,7,4,4,4,3,5,5,1,0,0,1,0,0
5,1,186,Most Concerned,1,37,0,South,5,32.5,2,1,0,0.3416552855780197,2,0.36398523377371006,-1.0461167510724536,1.7395179673721841,0.2257271580999927,7,4,4,3,3,5,5,1,0,0,1,0,1
6,1,152,Most Concerned,1,32,1,Northeast,5,32.5,1,1,0,-0.34462993264335917,1,-0.3319079957156422,0.21784312256050406,2.8830276443883776,0.6723230674070476,6,4,4,4,3,6,6,1,0,0,1,0,0
6,1,152,Most Concerned,1,32,1,Northeast,5,32.5,1,1,0,-0.13528880663968182,2,-0.02358270168807638,0.31171241794978877,1.7395179673721841,-0.22083741320815636,6,4,4,3,3,6,6,1,0,0,1,0,1
7,1,106,Most Concerned,1,37,1,Northeast,5,87.5,0,0,0,0.2704278704524248,1,0.7243445003229819,1.6492795615012592,2.8830276443883776,0.3119004735149083,4,4,4,4,3,7,7,1,0,0,1,0,0
7,1,106,Most Concerned,1,37,1,Northeast,5,87.5,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1
8,1,99,Most Concerned,1,46,0,Midwest,5,62.5,2,1,0,0.03529716312773001,1,-0.1254393229365334,1.6492795615012592,2.8830276443883776,0.570738781720263,6,4,4,4,3,7,7,1,0,0,1,0,0
8,1,99,Most Concerned,1,46,0,Midwest,5,62.5,2,1,0,-0.06420123547133207,2,-0.32844310413927524,1.6695415869720311,2.776375813883019,0.49976799098707086,6,4,4,4,3,7,7,1,0,0,1,0,1
9,0,92,Most Concerned,0,33,1,South,5,32.5,2,1,0,0.27689299903011244,1,0.38496195660357285,1.6492795615012592,2.8830276443883776,0.6822935658226974,5,4,4,4,3,7,7,1,0,1,0,0,0
9,0,92,Most Concerned,0,33,1,South,5,32.5,2,1,0,0.19051895292220147,2,0.047789693462514785,1.6695415869720311,2.776375813883019,0.6951962276762551,5,4,4,4,3,7,7,1,0,1,0,0,1
10,0,114,Doubtful and Dismissive,0,34,1,Midwest,2,62.5,-2,0,1,-0.8805833397592092,1,-1.4533175511356182,-4.0547502735785965,-6.652635080788536,-2.7103013888978356,1,1,1,1,1,4,2,0,1,1,0,0,0
10,0,114,Doubtful and Dismissive,0,34,1,Midwest,2,62.5,-2,0,1,-1.0516963981780505,2,-1.2829631376356803,-6.477433427161423,-6.741163551680982,-2.6069624806168803,1,1,1,1,1,1,1,0,1,1,0,0,1
11,0,116,Doubtful and Dismissive,0,64,1,South,5,32.5,-2,0,1,-0.29994100722057515,1,-0.37976947087440466,-1.213593316380251,-4.537629728370196,-1.189928258942096,3,2,1,2,2,5,5,0,0,1,0,0,0
11,0,116,Doubtful and Dismissive,0,64,1,South,5,32.5,-2,0,1,-0.08359801893375177,2,-0.2763132693832978,-4.436366742452562,-4.666532206179297,-0.7239695424212342,5,1,2,2,2,3,2,0,0,1,0,0,1
12,0,105,Most Concerned,0,33,1,Northeast,5,62.5,-1,0,1,-0.06001819649840584,1,0.06889389240744832,0.21784312256050406,-0.2955265973372605,-0.32306359948005,5,3,3,3,3,6,6,1,0,1,0,0,0
12,0,105,Most Concerned,0,33,1,Northeast,5,62.5,-1,0,1,-0.03713746666063236,2,0.44865847718605245,0.9949499336364073,-1.433910806962498,-0.4052985475079071,5,3,2,3,3,7,6,1,0,1,0,0,1
13,1,175,Doubtful and Dismissive,1,53,1,South,5,87.5,-2,0,1,0.07983015551218615,1,0.24354053208040197,-0.48701713656829093,-2.395794551751343,-1.2585257813040267,5,2,0,2,2,6,5,0,0,0,1,0,0
13,1,175,Doubtful and Dismissive,1,53,1,South,5,87.5,-2,0,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1
14,1,115,Doubtful and Dismissive,0,32,0,South,5,62.5,-2,0,1,-0.9315188944961544,1,-1.0447766769412488,-3.3716059351329664,-3.474080839062898,-0.8287827671990212,2,2,2,2,2,3,4,0,0,0,1,0,0
14,1,115,Doubtful and Dismissive,0,32,0,South,5,62.5,-2,0,1,-1.1860599222419184,2,-1.3927371490394107,-3.7617750891169384,-3.568650429826315,-1.355647718006799,2,2,2,2,2,3,3,0,0,0,1,0,1
15,1,108,Most Engaged,1,44,1,Northeast,5,125,2,1,0,0.7477354559883302,1,0.9211015044535992,1.6492795615012592,2.8830276443883776,0.4568816809471919,6,4,4,4,3,7,7,1,0,0,1,0,0
15,1,108,Most Engaged,1,44,1,Northeast,5,125,2,1,0,0.6320211035420222,2,0.7645527853229581,1.6695415869720311,1.7395179673721841,0.5772926714133576,6,4,4,3,3,7,7,1,0,0,1,0,1
16,0,128,Most Concerned,0,27,1,West,2,87.5,2,1,0,0.6725563193872146,1,0.6703415922286218,1.6492795615012592,2.8830276443883776,0.7987134220711211,7,4,4,4,3,7,7,1,0,1,0,0,0
16,0,128,Most Concerned,0,27,1,West,2,87.5,2,1,0,0.7326570162339103,2,0.7515693282554625,1.6695415869720311,2.776375813883019,0.8067252550371706,7,4,4,4,3,7,7,1,0,1,0,0,1
17,2,67,Doubtful and Dismissive,1,25,0,Midwest,2,32.5,NA,NA,NA,-0.7582273887622482,1,-0.6749220031047396,0.9444193023724641,-3.388903154089005,0.052988070778637424,5,2,3,1,3,7,6,1,0,0,0,1,0
